G1/S	G2/M	stemness	AC (PCA-only)	AC (PCA+mice)	OC (PCA-only)	OC (OG+mice)
 MCM5	  HMGB2	SOX4	APOE	 APOE	LMF1	    OLIG1
    PCNA	    CDK1	    CCND2	SPARCL1	    SPARCL1	OLIG1	    SNX22
    TYMS	    NUSAP1	    SOX11	SPOCK1	    ALDOC	SNX22	    GPR17
    FEN1	    UBE2C	    RBM6	CRYAB	    CLU	POLR2F	    DLL3
    MCM2	    BIRC5	    HNRNPH1	ALDOC	    EZR	LPPR1	    SOX8
    MCM4	    TPX2	    HNRNPL	CLU	    SORL1	GPR17	    NEU4
    RRM1	    TOP2A	    PTMA	EZR	    MLC1	DLL3	    SLC1A1
    UNG	    NDC80	    TRA2A	SORL1	    ABCA1	ANGPTL2	    LIMA1
    GINS2	    CKS2	    SET	MLC1	    ATP1B2	SOX8	    ATCAY
    MCM6	    NUF2	    C6orf62	ABCA1	    RGMA	RPS2	    SERINC5
    CDCA7	    CKS1B	    PTPRS	ATP1B2	    AGT	FERMT1	    LHFPL3
    DTL	    MKI67	    CHD7	PAPLN	    EEPD1	PHLDA1	    SIRT2
    PRIM1	    TMPO	    CD24	CA12	    CST3	RPS23	    OMG
    UHRF1	    CENPF	    H3F3B	BBOX1	    SOX9	NEU4	    APOD
    MLF1IP	    TACC3	    C14orf23	RGMA	    EDNRB	SLC1A1	    MYT1
    HELLS	    FAM64A	    NFIB	AGT	    GABRB1	LIMA1	    OLIG2
    RFC2	    SMC4	    SRGAP2C	EEPD1	    PLTP	ATCAY	    RTKN
    RPA2	    CCNB2	    STMN2	CST3	    JUNB	SERINC5	    FA2H
    NASP	    CKAP2L	    SOX2	SSTR2	    DKK3	CDH13	    MARCKSL1
    RAD51AP1	    CKAP2	    TFDP2	SOX9	    ID4	CXADR	    LIMS2
    GMNN	    AURKB	    CORO1C	RND3	    ADCYAP1R1	LHFPL3	    PHLDB1
    WDR76	    BUB1	    EIF4B	EDNRB	    GLUL	ARL4A	    RAB33A
    SLBP	    KIF11	    FBLIM1	GABRB1	    PFKFB3	SHD	    OPCML
    CCNE2	    ANP32E	    SPDYE7P	PLTP	    CPE	RPL31	    SHISA4
    UBR7	    TUBB4B	    TCF4	JUNB	    ZFP36L1	GAP43	    TMEFF2
    POLD3	    GTSE1	    ORC6	DKK3	    JUN	IFITM10	    NME1
