MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	rna_cell	Sample	meth_cell
0.002210697	-0.723861722	0.554144969	0.011483872	-0.607437379	-0.510247511	-0.143739656	-0.185440713	AC	AC	MGH105A_P7_A3_S3_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.560369438	0.175751488	1.323465554	0.107157964	-0.318619948	0.352541939	0.16365124	-0.088464385	AC	AC	MGH105A_P7_B11_S23_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.037159395	0.130775744	1.671545217	0.548509252	-0.251249183	0.195576332	0.079632703	-0.113760933	AC	AC	MGH105A_P7_B12_S24_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.699868551	-0.726168674	1.520971168	0.717244897	-0.05590834	-0.141889653	-0.481268433	-0.220056144	AC	AC	MGH105A_P7_B5_S17_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
-1.143334522	-0.361015543	1.074858587	0.148746873	-0.034902063	0.112690391	0.57879404	-0.286406617	AC	AC	MGH105A_P7_C10_S34_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.378773759	0.293216652	1.643764674	0.377098814	-0.149462475	-0.241865956	0.257996031	-0.117292992	AC	AC	MGH105A_P7_C4_S28_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.431444737	-1.056102278	0.340895408	0.153930355	0.109654938	-0.182387577	-0.019134619	0.311290007	AC	AC	MGH105A_P7_C6_S30_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.905960492	-0.74096289	2.125824753	0.481066563	0.53191981	-0.075132913	-0.414109033	-0.024980781	AC	AC	MGH105A_P7_C9_S33_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.481341918	-0.059735327	0.894564533	0.314594387	0.092787614	0.088019878	-0.29215667	-0.381791807	AC	AC	MGH105A_P7_D10_S46_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.226513177	0.245646557	0.560337418	-0.28704892	-0.386864341	-0.335481898	-0.128444649	0.023417267	AC	AC	MGH105A_P7_D4_S40_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.476580222	-0.294544941	0.776820852	0.224003489	0.667969382	0.379166024	-0.27001652	-0.205147556	AC	AC	MGH105A_P7_E10_S58_L003_R1_001	MGH105A	MGH105A_P7_E1_S3_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.479423896	-0.108327491	1.134604998	0.272803427	0.099151016	-0.227069606	-0.263434188	-0.088082692	AC	AC	MGH105A_P7_F2_S62_L003_R1_001	MGH105A	MGH105A_P7_E1_S3_L001.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.54201986	-0.496134569	1.511117274	0.863418022	0.057887513	-0.13927911	-0.087103819	-0.234823742	AC	AC	MGH105A_P7_F4_S64_L003_R1_001	MGH105A	MGH105A_P7_E1_S3_L001.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.390275347	-0.15878725	1.652376282	0.481928534	-0.114588949	-0.454150528	0.095213557	-0.049976852	AC	AC	MGH105A_P7_F6_S66_L003_R1_001	MGH105A	MGH105A_P7_E1_S3_L001.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-1.01174634	-1.144366944	1.432473478	0.514194306	0.544712025	0.349960823	0.292026375	-0.082587282	AC	AC	MGH105A_P7_G1_S73_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.391100119	0.194546036	1.541336724	0.119040024	-0.127752695	-0.425058209	0.238733595	-0.333914126	AC	AC	MGH105A_P7_G4_S76_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.646808066	0.287493615	0.964180101	0.097909302	-0.435523049	-0.433203232	-0.522777683	-0.099424838	AC	AC	MGH105A_P7_H10_S94_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
-1.000440144	-0.690326916	1.398537512	0.190530512	0.188891647	0.523043877	-0.118654394	-0.177645301	AC	AC	MGH105A_P7_H11_S95_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.435598591	-1.003284567	0.357243435	-0.19006749	-0.776233616	-0.605002919	-0.406263739	-0.494913272	AC	AC	MGH105A_P7_H2_S86_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.061923105	0.107978225	1.580720142	0.232462695	-0.076582917	-0.218832947	-0.490952398	-0.182256988	AC	AC	MGH105A_P7_H6_S90_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.539534376	-0.246325839	1.803983869	0.568955697	0.49482652	0.195892898	0.138110316	0.012575991	AC	AC	MGH105A_P7_H7_S91_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.586327199	0.025824969	1.440096014	0.421142401	-0.058222001	-0.040546126	-0.156902756	-0.331193354	AC	AC	MGH105A_P7_H9_S93_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.553250715	-0.584997188	0.359966079	0.120178251	0.350421342	0.089128597	0.687799292	-0.347300689	G1.S	AC	MGH105A_P7_E11_S59_L003_R1_001	MGH105A	MGH105A_P7_E1_S3_L001.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.974430618	-1.945597381	-2.412983637	-0.257823099	1.800536736	1.513623374	1.808404619	0.31619378	G1.S	NPC.1	MGH105A_P7_G7_S79_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.494850957	-1.313887837	0.529448549	0.713531032	0.483803328	-0.182063132	2.013027151	0.534675628	G1.S	OPC	MGH105A_P7_D1_S37_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.17778626	-0.186856564	0.671882173	0.353882291	0.427502771	0.201160051	0.989520312	1.386156622	G2.M	AC	MGH105A_P7_C12_S36_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.656655639	-0.566449322	-0.780401743	-0.400766174	-0.258168396	-0.266741939	-0.126862174	0.081266522	G2.M	NPC.1	MGH105A_P7_A2_S2_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.45641763	-0.146429478	-0.039001488	-0.379114425	0.022503465	-0.14104096	0.177693585	3.169238254	G2.M	NPC.1	MGH105A_P7_E8_S56_L003_R1_001	MGH105A	MGH105A_P7_E1_S3_L001.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
0.918274525	2.94688381	-0.325335942	-0.522150868	-0.957412865	-0.387682297	-0.180590824	-0.021335865	MES.1	MES.1	MGH105A_P7_A10_S10_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
1.423845745	3.056010728	-0.869955343	-0.645440879	-1.33133857	-0.319521204	-0.313075795	-0.194623039	MES.1	MES.1	MGH105A_P7_A11_S11_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
0.201523335	2.589546942	-0.396257895	-0.581013434	-0.92555348	-0.270140205	0.057466365	-0.378962763	MES.1	MES.1	MGH105A_P7_A4_S4_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
