rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH105A_P7_A10_S10_L003_R1_001	0.918274525	2.94688381	-0.325335942	-0.522150868	-0.957412865	-0.387682297	-0.180590824	-0.021335865	MES.1	MES.1	MES	Diff	MES	MES	MGH105A	MGH105A_P7_A1_S1_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_A11_S11_L003_R1_001	1.423845745	3.056010728	-0.869955343	-0.645440879	-1.33133857	-0.319521204	-0.313075795	-0.194623039	MES.1	MES.1	MES	Diff	MES	MES	MGH105A	MGH105A_P7_A1_S1_L001.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_A12_S12_L003_R1_001	1.107914036	0.344847047	-0.087741723	-0.403068428	-0.808474201	-0.341281595	-0.108657808	0.447774276	MES.2	MES.2	MES	Diff	MES	MES	MGH105A	MGH105A_P7_A1_S1_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_A2_S2_L003_R1_001	-0.656655639	-0.566449322	-0.780401743	-0.400766174	-0.258168396	-0.266741939	-0.126862174	0.081266522	G2.M	NPC.1	NPC	G2.M	G2.M	G2.M	MGH105A	MGH105A_P7_A1_S1_L001.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_A3_S3_L003_R1_001	0.002210697	-0.723861722	0.554144969	0.011483872	-0.607437379	-0.510247511	-0.143739656	-0.185440713	AC	AC	AC	Diff	AC	AC	MGH105A	MGH105A_P7_A1_S1_L001.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_A4_S4_L003_R1_001	0.201523335	2.589546942	-0.396257895	-0.581013434	-0.92555348	-0.270140205	0.057466365	-0.378962763	MES.1	MES.1	MES	Diff	MES	MES	MGH105A	MGH105A_P7_A1_S1_L001.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_A5_S5_L003_R1_001	1.686398849	0.40779432	-1.210079881	-1.115294441	-1.105216327	-0.333722719	-0.549582501	-0.103821383	MES.2	MES.2	MES	Diff	MES	MES	MGH105A	MGH105A_P7_A1_S1_L001.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_A6_S6_L003_R1_001	1.933677094	1.747018215	-1.775924859	-0.763692773	-1.21512071	-0.358985029	0.095500856	-0.107454744	MES.2	MES.2	MES	Diff	MES	MES	MGH105A	MGH105A_P7_A1_S1_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_A8_S8_L003_R1_001	1.745169818	0.276021371	-1.360362737	-1.053011801	-1.459416375	-0.208009683	0.196921817	-0.217872583	MES.2	MES.2	MES	Diff	MES	MES	MGH105A	MGH105A_P7_A1_S1_L001.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_A9_S9_L003_R1_001	1.096975656	1.715754976	-1.090497514	-0.503760031	-0.713277482	-0.175129486	0.145965153	0.017987859	MES.1	MES.1	MES	Diff	MES	MES	MGH105A	MGH105A_P7_A1_S1_L001.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_B10_S22_L003_R1_001	-0.067756312	0.981285601	0.589062531	0.062440881	-0.47291386	0.367147826	-0.637552347	-0.25972514	MES.1	MES.1	MES	Diff	MES	MES	MGH105A	MGH105A_P7_A1_S1_L001.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_B11_S23_L003_R1_001	-0.560369438	0.175751488	1.323465554	0.107157964	-0.318619948	0.352541939	0.16365124	-0.088464385	AC	AC	AC	Diff	AC	AC	MGH105A	MGH105A_P7_A1_S1_L001.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_B12_S24_L003_R1_001	-0.037159395	0.130775744	1.671545217	0.548509252	-0.251249183	0.195576332	0.079632703	-0.113760933	AC	AC	AC	Diff	AC	AC	MGH105A	MGH105A_P7_A1_S1_L001.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_B3_S15_L003_R1_001	-0.792446052	-0.653593154	0.49013707	1.015113011	0.785448683	0.152924849	-0.337994492	-0.231982568	OPC	OPC	OPC	Undiff	PRO	OPC	MGH105A	MGH105A_P7_A1_S1_L001.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_B5_S17_L003_R1_001	-0.699868551	-0.726168674	1.520971168	0.717244897	-0.05590834	-0.141889653	-0.481268433	-0.220056144	AC	AC	AC	Diff	AC	AC	MGH105A	MGH105A_P7_A1_S1_L001.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_B8_S20_L003_R1_001	-0.960659668	-0.911990457	1.049597513	0.882985968	1.277913458	0.460521799	0.116755793	0.096332135	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105A	MGH105A_P7_A1_S1_L001.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_C1_S25_L003_R1_001	0.189071965	0.680876691	0.233720688	-0.241075991	-0.294109411	-0.287111928	-0.207979941	-0.136122411	MES.1	MES.1	MES	Diff	MES	MES	MGH105A	MGH105A_P7_C1_S2_L001.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_C10_S34_L003_R1_001	-1.143334522	-0.361015543	1.074858587	0.148746873	-0.034902063	0.112690391	0.57879404	-0.286406617	AC	AC	AC	Diff	AC	AC	MGH105A	MGH105A_P7_C1_S2_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
