rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH105B_P6_A11_S16_L004_R1_001	-0.76362797	0.753802966	-0.016879469	0.193131543	-0.141748927	-0.232447048	0.131900204	-0.093394188	MES.1	MES.1	MES	Diff	MES	MES	MGH105B	MGH105B_P6_A1_S1_L005.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_A12_S17_L004_R1_001	-0.858979598	0.639906326	-0.098002846	-0.126257769	-0.274212871	-0.265214463	-0.226612622	-0.094477412	MES.1	MES.1	MES	Diff	MES	MES	MGH105B	MGH105B_P6_A1_S1_L005.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_A2_S7_L004_R1_001	0.237982075	0.188579964	-0.178950924	-0.209720369	-0.46591749	0.023475058	-0.05700469	-0.246373347	MES.2	MES.2	MES	Diff	MES	MES	MGH105B	MGH105B_P6_A1_S1_L005.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_A8_S13_L004_R1_001	-0.154408628	-0.515726888	-0.265917288	-0.052512157	0.188427702	0.364399222	0.080035181	0.089030848	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH105B	MGH105B_P6_A1_S1_L005.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_A9_S14_L004_R1_001	-0.340931449	1.077358548	1.163479554	0.570873821	0.474364651	0.266123876	-0.066312935	-0.035998943	AC	AC	AC	Diff	AC	AC	MGH105B	MGH105B_P6_A1_S1_L005.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_B10_S27_L004_R1_001	0.051189899	1.147404942	0.134262921	0.209804824	-0.032674488	0.058271097	0.097895598	-0.036734467	MES.1	MES.1	MES	Diff	MES	MES	MGH105B	MGH105B_P6_A1_S1_L005.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_B4_S21_L004_R1_001	-0.358546195	0.932831375	0.190578749	0.110555625	0.048070256	0.041612222	-0.122460818	0.266375044	MES.1	MES.1	MES	Diff	MES	MES	MGH105B	MGH105B_P6_A1_S1_L005.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_B6_S23_L004_R1_001	-0.055229704	1.063670829	1.019724035	0.329887553	0.053771256	-0.218838196	-0.073965861	-0.28883566	MES.1	MES.1	MES	Diff	MES	MES	MGH105B	MGH105B_P6_A1_S1_L005.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_C12_S40_L004_R1_001	0.362891901	-0.34583934	-0.265246164	0.015421055	0.284555536	0.303183932	-0.070430692	-0.078281684	MES.2	MES.2	MES	Diff	MES	MES	MGH105B	MGH105B_P6_C1_S2_L005.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_C2_S31_L004_R1_001	-0.78355833	-2.247363977	-0.838282385	-0.272907205	0.166079284	0.19029167	0.382580891	0.493417148	G2.M	NPC.2	NPC	G2.M	G2.M	G2.M	MGH105B	MGH105B_P6_C1_S2_L005.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
