rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH105C_P0_A1_S1_L008_R1_001	0.486289451	3.192343331	-0.569476898	-0.370083658	-0.292687118	0.008561723	-0.101640342	0.062919102	MES.1	MES.1	MES	Diff	MES	MES	MGH105C	MGH105C_P0_A1_S1_L008.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_A12_S12_L008_R1_001	0.122576199	-0.826015417	0.226035306	1.398876219	0.741825669	0.081778437	-0.55695756	-0.280683433	OPC	OPC	OPC	Undiff	PRO	OPC	MGH105C	MGH105C_P0_A1_S1_L008.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_A2_S2_L008_R1_001	-0.200687482	1.090827185	-0.602349865	-0.622969974	-0.713537858	-0.410503222	-0.275126873	-0.044133502	MES.1	MES.1	MES	Diff	MES	MES	MGH105C	MGH105C_P0_A1_S1_L008.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_A3_S3_L008_R1_001	-0.523540321	-0.509847151	0.793154691	0.203325731	0.211399426	0.162455405	-0.092280971	-0.215079518	AC	AC	AC	Diff	AC	AC	MGH105C	MGH105C_P0_A1_S1_L008.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_A4_S4_L008_R1_001	-0.125670793	-0.080844287	-0.126739701	0.003999212	0.049900212	-0.105205731	-0.413025136	0.01536083	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105C	MGH105C_P0_A1_S1_L008.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_A5_S5_L008_R1_001	-0.823522809	-1.227335863	-1.658059933	1.715373631	1.474676443	0.34891069	-0.056572227	-0.21373403	OPC	OPC	OPC	Undiff	PRO	OPC	MGH105C	MGH105C_P0_A1_S1_L008.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_A6_S6_L008_R1_001	0.601082611	2.200338275	-0.440309389	-0.852325419	-0.845800069	-0.139399383	-0.087805984	-0.005920721	MES.1	MES.1	MES	Diff	MES	MES	MGH105C	MGH105C_P0_A1_S1_L008.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_A7_S7_L008_R1_001	-0.316082675	0.306755373	1.021830432	-0.403294201	-0.53782879	-0.069433292	-0.100446334	-0.325621748	AC	AC	AC	Diff	AC	AC	MGH105C	MGH105C_P0_A1_S1_L008.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_A8_S8_L008_R1_001	-0.400267594	-0.99521895	0.232217289	0.182607493	0.364265648	0.225180921	-0.142999008	-0.242380283	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105C	MGH105C_P0_A1_S1_L008.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_A9_S9_L008_R1_001	0.204030544	0.402692156	-1.208257992	-1.108641558	-1.161834495	-0.355500878	-0.109009332	-0.14316305	MES.1	MES.1	MES	Diff	MES	MES	MGH105C	MGH105C_P0_A1_S1_L008.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_B1_S13_L008_R1_001	0.016543898	-0.165902304	0.791099528	0.658611106	0.357174489	-0.229867253	0.036689709	0.203610308	AC	AC	AC	Diff	AC	AC	MGH105C	MGH105C_P0_A1_S1_L008.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_B10_S22_L008_R1_001	-0.623689245	-0.672373341	0.548199849	-0.191114767	0.322213917	0.225761598	-0.36927199	-0.063610494	AC	AC	AC	Diff	AC	AC	MGH105C	MGH105C_P0_A1_S1_L008.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_B11_S23_L008_R1_001	-0.899481809	-0.763302521	0.820672436	0.543273482	0.330619086	0.021366209	0.106165714	-0.36471431	AC	AC	AC	Diff	AC	AC	MGH105C	MGH105C_P0_A1_S1_L008.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_B12_S24_L008_R1_001	-0.203157845	-0.01935054	0.257434896	-0.124253205	0.120653336	-0.071122547	-0.152225045	0.001838517	AC	AC	AC	Diff	AC	AC	MGH105C	MGH105C_P0_A1_S1_L008.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_B3_S15_L008_R1_001	0.625073577	1.310495024	0.187361781	-0.494374693	-0.983491907	-0.550679015	-0.294243687	0.055292414	MES.1	MES.1	MES	Diff	MES	MES	MGH105C	MGH105C_P0_A1_S1_L008.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_B4_S16_L008_R1_001	0.142867081	0.851846853	-0.416958854	-0.219784963	-0.092278551	0.238219711	-0.336686239	0.043528373	MES.1	MES.1	MES	Diff	MES	MES	MGH105C	MGH105C_P0_A1_S1_L008.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_B5_S17_L008_R1_001	1.183151097	1.844192778	0.210107673	-0.431647488	-0.882920915	-0.36775664	-0.124490068	-0.142298134	MES.1	MES.1	MES	Diff	MES	MES	MGH105C	MGH105C_P0_A1_S1_L008.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_B6_S18_L008_R1_001	0.903895854	-0.443765455	-1.829723591	-1.18851331	-0.967444066	-0.344150292	-0.117634186	0.060214202	MES.2	MES.2	MES	Diff	MES	MES	MGH105C	MGH105C_P0_A1_S1_L008.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_B7_S19_L008_R1_001	-0.744843623	-1.418206354	-0.228562885	0.657806244	1.148051564	0.042507015	-0.056923994	0.120614135	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105C	MGH105C_P0_A1_S1_L008.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105C_P0_B9_S21_L008_R1_001	-0.361798382	-0.372085002	-0.780249127	-0.130215293	-0.433209599	-0.340450803	0.771424706	-0.150664451	G1.S	OPC	OPC	G1.S	G1.S	G1.S	MGH105C	MGH105C_P0_A1_S1_L008.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
