rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH105D_P7_A2_S7_L004_R1_001	-0.227851439	-0.769924451	-0.795147897	-0.172524286	0.435682692	-0.034232361	-0.522095321	0.115018034	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105D	MGH105D_P7_A1_S1_L004.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_A3_S8_L004_R1_001	-0.295658811	0.849959773	1.192622707	-0.106428731	-1.017330672	-0.323999717	-0.345354658	-0.204515731	AC	AC	AC	Diff	AC	AC	MGH105D	MGH105D_P7_A1_S1_L004.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_A5_S10_L004_R1_001	0.083014124	0.379899184	-0.107310248	-0.378090082	0.032310925	-0.123251139	-0.122055666	0.21826482	MES.1	MES.1	MES	Diff	MES	MES	MGH105D	MGH105D_P7_A1_S1_L004.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_A6_S11_L004_R1_001	-0.380825279	-0.523771015	-0.728310578	-0.283126948	0.172891552	-0.123628516	1.730072035	0.517674062	G1.S	NPC.1	NPC	G1.S	G1.S	G1.S	MGH105D	MGH105D_P7_A1_S1_L004.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_A7_S12_L004_R1_001	0.131332642	-0.329333046	0.653886593	0.271190912	-0.007899446	-0.185291637	-0.52471035	-0.243674448	AC	AC	AC	Diff	AC	AC	MGH105D	MGH105D_P7_A1_S1_L004.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_B10_S27_L004_R1_001	-0.208793858	-0.283278537	-0.657588347	-0.707028893	0.058731307	-0.166635891	-0.051723929	0.135531868	G2.M	NPC.1	NPC	G2.M	G2.M	G2.M	MGH105D	MGH105D_P7_A1_S1_L004.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_B11_S28_L004_R1_001	-0.228763226	-1.10416784	-1.29030776	2.582523359	0.236992199	0.107844931	0.022112303	-0.367089085	OPC	OPC	OPC	Undiff	PRO	OPC	MGH105D	MGH105D_P7_A1_S1_L004.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_B3_S20_L004_R1_001	-0.558983343	-1.008229736	-1.876063277	0.79848134	1.450934068	0.531833883	0.178110409	0.163011795	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105D	MGH105D_P7_A1_S1_L004.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_B4_S21_L004_R1_001	-0.605018992	-0.582585103	-0.651498762	0.060007968	0.508018858	0.168390245	-0.156591091	-0.145739633	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105D	MGH105D_P7_A1_S1_L004.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_B5_S22_L004_R1_001	0.505328509	0.38639905	0.058329968	-0.248168384	-0.442019954	-0.224726988	-0.280698103	0.021253438	MES.2	MES.2	MES	Diff	MES	MES	MGH105D	MGH105D_P7_A1_S1_L004.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_B8_S25_L004_R1_001	-0.125234551	0.009696214	0.38455171	-0.115094443	-0.086606798	-0.14458133	0.553229528	-0.13560271	G1.S	AC	AC	G1.S	G1.S	G1.S	MGH105D	MGH105D_P7_A1_S1_L004.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_B9_S26_L004_R1_001	-0.839482386	-1.396054509	-1.126050506	0.594681104	1.551991855	0.791134218	0.419688457	0.057327032	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105D	MGH105D_P7_A1_S1_L004.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_C10_S38_L004_R1_001	-0.003508135	-0.285737668	0.706584253	0.177373933	0.169237584	-0.107103642	-0.011228118	-0.198513965	AC	AC	AC	Diff	AC	AC	MGH105D	MGH105D_P7_C1_S2_L004.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_C11_S39_L004_R1_001	0.084950596	-0.31329412	0.913780648	0.325523726	0.031457128	-0.115390173	-0.530622009	-0.243095242	AC	AC	AC	Diff	AC	AC	MGH105D	MGH105D_P7_C1_S2_L004.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_C2_S31_L004_R1_001	-0.407253909	-0.571852963	-1.566974352	0.445688693	1.145600721	0.671736784	0.068312191	-0.176498148	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105D	MGH105D_P7_C1_S2_L004.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_C3_S1_L004_R1_001	-0.152292654	-0.309977563	0.442122893	0.097542182	-0.085798542	-0.49207778	0.88506125	-0.095608365	G1.S	AC	AC	G1.S	G1.S	G1.S	MGH105D	MGH105D_P7_C1_S2_L004.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
