rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH115_P7_A11_S11_L003_R1_001	-1.056921113	-0.331817384	0.304385799	0.095958725	-0.24873686	-0.05793664	0.037055806	-0.301746643	AC	AC	AC	Diff	AC	AC	MGH115	MGH115_P7_A1_S1_L002.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH115_P7_A4_S4_L003_R1_001	0.858626333	1.052525805	-1.532186383	-1.00713772	-0.891600717	-0.022060974	0.095953684	-0.013277553	MES.1	MES.1	MES	Diff	MES	MES	MGH115	MGH115_P7_A1_S1_L002.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH115_P7_B1_S13_L003_R1_001	0.505863267	-0.132112221	0.070074618	-0.033690785	0.179654004	0.697076158	-0.095860754	-0.249668434	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH115	MGH115_P7_A1_S1_L002.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH115_P7_B3_S15_L003_R1_001	2.082523323	0.356688606	-1.643634757	-1.177187514	-1.20062787	-0.671745441	-0.05345899	0.217410731	MES.2	MES.2	MES	Diff	MES	MES	MGH115	MGH115_P7_A1_S1_L002.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH115_P7_B7_S19_L003_R1_001	-0.976435483	-1.005850676	0.566540403	1.244608307	1.355907878	0.433322485	-0.539730712	-0.471930666	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH115	MGH115_P7_A1_S1_L002.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH115_P7_B8_S20_L003_R1_001	-1.192600806	-0.676948863	1.237373124	0.296651453	0.062119069	-0.264926088	2.548790809	1.84505936	G1.S	AC	AC	G1.S	G1.S	G1.S	MGH115	MGH115_P7_A1_S1_L002.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH115_P7_B9_S21_L003_R1_001	-0.31535006	-0.063654468	1.508567987	0.528577462	0.066950841	0.020669901	-0.402722174	-0.521682055	AC	AC	AC	Diff	AC	AC	MGH115	MGH115_P7_A1_S1_L002.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH115_P7_C1_S25_L003_R1_001	0.477436182	0.190688102	-2.066004518	-1.226541085	-1.207642979	-0.606061749	0.109308583	-0.388557667	MES.2	MES.2	MES	Diff	MES	MES	MGH115	MGH115_P7_C1_S2_L002.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH115_P7_C12_S36_L003_R1_001	0.721969993	0.416133046	-1.847324825	-1.021315486	-0.7471304	-0.450336567	0.027855684	0.119837812	MES.2	MES.2	MES	Diff	MES	MES	MGH115	MGH115_P7_C1_S2_L002.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH115_P7_C2_S26_L003_R1_001	-0.512277893	0.029493489	0.515621435	0.010646328	0.308961324	-0.085491666	0.144686187	3.134269046	G2.M	AC	AC	G2.M	G2.M	G2.M	MGH115	MGH115_P7_C1_S2_L002.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
