rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH121_P4_cDNA_fromECRC5792.11_S11_L008_R1_001	-0.552277579	0.126096446	0.893185058	0.281890506	0.27231091	-0.07393192	-0.498848048	-0.233636252	AC	AC	AC	Diff	AC	AC	MGH121_P4	MGH121_P4_A1_S1_L005.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P4_cDNA_fromECRC5792.12_S12_L008_R1_001	-0.129340578	-0.184215769	-0.31586219	-0.120037454	0.054863881	-0.403567836	-0.451105006	-0.27335781	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH121_P4	MGH121_P4_A1_S1_L005.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P4_cDNA_fromECRC5792.13_S13_L008_R1_001	-0.462633747	-0.615901818	-0.583882812	0.009736573	1.20076037	1.328467344	-0.388770038	-0.382796491	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH121_P4	MGH121_P4_A1_S1_L005.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P4_cDNA_fromECRC5792.14_S14_L008_R1_001	-0.529891563	-0.412249485	0.026179316	0.461015455	0.062031685	0.059495511	0.575878519	0.014515518	G1.S	OPC	OPC	G1.S	G1.S	G1.S	MGH121_P4	MGH121_P4_A1_S1_L005.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P4_cDNA_fromECRC5792.15_S15_L008_R1_001	0.649890487	0.340262791	0.324683828	-0.404932184	-0.191867349	0.112432844	-0.382159181	-0.356392084	MES.2	MES.2	MES	Diff	MES	MES	MGH121_P4	MGH121_P4_A1_S1_L005.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P4_cDNA_fromECRC5792.16_S16_L008_R1_001	-0.3105872	0.193993764	0.350617485	-0.174993166	-0.345244039	-0.191106486	-0.781316834	-0.323550389	AC	AC	AC	Diff	AC	AC	MGH121_P4	NA
MGH121_P4_cDNA_fromECRC5792.17_S17_L008_R1_001	0.364487661	0.351613525	0.392382537	-0.41049211	-0.684489802	0.071667309	0.062546134	-0.356047955	AC	AC	AC	Diff	AC	AC	MGH121_P4	NA
MGH121_P4_cDNA_fromECRC5792.18_S18_L008_R1_001	-0.071409851	-0.363271097	0.033654444	0.454987333	0.472722115	-0.124789251	-0.975736584	-0.159428332	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH121_P4	MGH121_P4_A1_S1_L005.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P4_cDNA_fromECRC5792.19_S19_L008_R1_001	-0.484628479	-0.686030601	-0.381129652	0.369070825	0.494121441	0.457335241	1.962765234	0.552460012	G1.S	NPC.1	NPC	G1.S	G1.S	G1.S	MGH121_P4	MGH121_P4_A1_S1_L005.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P4_cDNA_fromECRC5792.2_S2_L008_R1_001	-0.34621246	-0.517223769	-0.453001937	0.64547219	0.73587757	0.170970289	0.333767857	0.060319648	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH121_P4	MGH121_P4_A1_S1_L005.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P4_cDNA_fromECRC5792.20_S20_L008_R1_001	-0.800302061	-0.645809355	-0.853359211	1.22397326	1.442314351	0.522069017	-0.802179718	-0.491365559	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH121_P4	MGH121_P4_A1_S1_L005.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
