rna_cell	G1.S	G2.M	AC_PCA	AC_PCA_MICE	OC_PCA	OC_PCA_MICE	stemness	Type_max	Type_max2	Tirosh_Type_PCA	Tirosh_Type_PCA2	Tirosh_Type_PCA_MICE	Tirosh_Type_PCA_MICE2	Sample	meth_cell
MGH142_P2_A1_S105_ME_L001	-0.026575808	0.222947161	-0.270014195	-0.442094589	0.470555482	0.548304686	-0.19146898	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH142_P2	MGH142_P2-Pool1_S1_ME_L001.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P2_B6_S122_ME_L001	0.296163565	-0.002406096	-0.482686576	-0.57635887	0.615462496	0.80770915	0.051170059	OC_PCA_MICE	OC	OC	OC	OC	OC	MGH142_P2	MGH142_P2-Pool1_S1_ME_L001.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P2_A5_S109_ME_L001	-0.10286849	0.064986119	-0.120518863	-0.189103086	0.337394336	0.781405721	0.285663831	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH142_P2	MGH142_P2-Pool1_S1_ME_L001.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P2_A6_S110_ME_L001	-0.080283979	0.02383113	0.056982439	0.287086581	0.009434858	0.136163903	0.354422998	stemness	stemness	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P2	MGH142_P2-Pool1_S1_ME_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P2_B9_S125_ME_L001	-0.089689522	-0.138837907	-0.267083674	-0.280817244	0.375666585	0.758882171	-0.216344897	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH142_P2	MGH142_P2-Pool1_S1_ME_L001.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P2_A7_S111_ME_L001	0.269601922	-0.09469931	0.486192433	0.576747051	-0.380918417	-0.894333696	0.116780816	AC_PCA_MICE	AC	undifferentiated	undifferentiated	AC	AC	MGH142_P2	MGH142_P2-Pool1_S1_ME_L001.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P2_A9_S113_ME_L001	0.099271276	0.040882046	-0.442192176	-0.411623343	0.401736855	0.612186478	-0.298790213	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH142_P2	MGH142_P2-Pool1_S1_ME_L001.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P2_A10_S114_ME_L001	-0.163933303	-0.147405785	1.048800833	1.010082551	-0.671579685	-0.756934935	0.306654003	AC_PCA	AC	AC	AC	AC	AC	MGH142_P2	MGH142_P2-Pool1_S1_ME_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P2_A11_S115_ME_L001	0.160554042	0.053171682	0.254968018	-0.008609645	-0.180688232	-0.338512195	-0.27864608	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P2	MGH142_P2-Pool1_S1_ME_L001.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P2_B11_S127_ME_L001	-0.060390586	0.060175966	0.477109634	0.548060718	-0.301115378	-0.563721906	0.179556043	AC_PCA_MICE	AC	undifferentiated	undifferentiated	AC	AC	MGH142_P2	MGH142_P2-Pool1_S1_ME_L001.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
