rna_cell	G1.S	G2.M	AC_PCA	AC_PCA_MICE	OC_PCA	OC_PCA_MICE	stemness	Type_max	Tirosh_Type_PCA	Tirosh_Type_PCA2	Tirosh_Type_PCA_MICE	Tirosh_Type_PCA_MICE2	Sample	meth_cell
MGH208-Pl2-A12_S28_ME_L001	-0.58020543	-0.524365634	0.587756279	0.589261503	-0.347903562	-0.78143971	-0.409421927	AC_PCA_MICE	AC_PCA	AC_PCA	AC_PCA_MICE	AC	MGH208-2	MGH208-2-1_S1_ME_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-B2_S30_ME_L001	-0.287250019	-0.419506058	0.874476062	1.07278502	-0.652570857	-0.383021647	-0.055481418	AC_PCA_MICE	AC_PCA	AC_PCA	AC_PCA_MICE	AC	MGH208-2	MGH208-2-1_S1_ME_L001.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-C3_S43_ME_L001	-0.413019769	-0.340124833	0.507336445	0.595474701	-0.386959098	-0.561107765	0.002965423	AC_PCA_MICE	AC_PCA	AC_PCA	AC_PCA_MICE	AC	MGH208-2	MGH208-2-2_S2_ME_L001.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-D10_S62_ME_L001	-0.123827427	-0.592780377	0.769543207	0.863761012	-0.62217834	-0.742395965	-0.469883799	AC_PCA_MICE	AC_PCA	AC_PCA	AC_PCA_MICE	AC	MGH208-2	MGH208-2-2_S2_ME_L001.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-H6_S106_ME_L001	-0.706929425	-0.421759098	0.639533797	0.791599639	-0.072640683	-0.076241707	-0.452626307	AC_PCA_MICE	AC_PCA	AC_PCA	AC_PCA_MICE	AC	MGH208-2	MGH208-2-4_S4_ME_L001.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-G6_S94_ME_L001	-0.227172535	-0.431944945	0.539049745	0.601327193	-0.369527401	-0.617288329	-0.230362568	AC_PCA_MICE	AC_PCA	AC_PCA	AC_PCA_MICE	AC	MGH208-2	MGH208-2-4_S4_ME_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-G11_S99_ME_L001	0.099697832	-0.479075419	0.847624523	0.922920855	0.04276989	0.273194166	0.02188083	AC_PCA_MICE	AC_PCA	AC_PCA	AC_PCA_MICE	AC	MGH208-2	MGH208-2-4_S4_ME_L001.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-H2_S102_ME_L001	-0.54821674	-0.743356219	0.41836356	0.510033732	-0.053777448	-0.155611029	-0.110616026	AC_PCA_MICE	undifferentiated	undifferentiated	AC_PCA_MICE	AC	MGH208-2	MGH208-2-4_S4_ME_L001.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-A1_S17_ME_L001	1.710432929	1.601283431	-0.520096491	-0.503153779	-0.292229892	-0.418886202	-0.085761328	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208-2	MGH208-2-1_S1_ME_L001.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-A9_S25_ME_L001	1.221052673	-0.108693337	-0.351454688	-0.300470949	0.211685797	-0.119414013	-0.16796009	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208-2	MGH208-2-1_S1_ME_L001.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-B4_S32_ME_L001	1.776654036	0.799452223	-0.134726591	-0.058915425	-0.231132777	-0.428819361	0.166563906	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208-2	MGH208-2-1_S1_ME_L001.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-D6_S58_ME_L001	1.298153378	0.521842184	-0.316667593	-0.30410085	0.062179197	-0.076375494	-0.196684396	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208-2	MGH208-2-2_S2_ME_L001.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-C6_S46_ME_L001	1.243840765	0.006768153	-0.389021667	-0.456881139	0.077048562	0.179983843	-0.068233585	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208-2	MGH208-2-2_S2_ME_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-E5_S69_ME_L001	0.364268143	-0.317548954	-0.208911619	-0.172978523	-0.095393484	0.282869103	-0.103513672	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208-2	MGH208-2-3_S3_ME_L001.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-E11_S75_ME_L001	0.389438973	0.264408686	-0.023830869	-0.062770053	0.179742265	0.208453067	-0.140038899	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208-2	MGH208-2-3_S3_ME_L001.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-F4_S80_ME_L001	1.512065613	0.888598202	-0.331321148	-0.359877714	-0.181753585	-0.344427416	-0.071623353	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208-2	MGH208-2-3_S3_ME_L001.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-H7_S107_ME_L001	0.969103131	0.100957211	-0.155417259	-0.216786523	0.203516524	0.273694335	0.13181803	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208-2	MGH208-2-4_S4_ME_L001.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-H9_S109_ME_L001	1.383560714	-0.096554267	-0.286801057	-0.230475873	0.129412909	0.345821191	-0.092431652	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208-2	MGH208-2-4_S4_ME_L001.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-H1_S101_ME_L001	1.026050562	0.92516525	-0.077786408	0.049149884	-0.176915606	-0.403976172	-0.087777806	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208-2	MGH208-2-4_S4_ME_L001.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-H4_S104_ME_L001	0.931562622	0.069651635	-0.340216216	-0.506663753	0.276427299	0.492534794	-0.092523538	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208-2	MGH208-2-4_S4_ME_L001.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-B9_S37_ME_L001	1.731643629	2.012161886	-0.093130495	-0.169956599	-0.588122108	-0.816864806	-0.142810487	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH208-2	MGH208-2-1_S1_ME_L001.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-A10_S26_ME_L001	1.469272387	2.698249963	-0.34176353	-0.442744439	-0.472974415	-0.67229773	-0.209224708	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH208-2	MGH208-2-1_S1_ME_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-A11_S27_ME_L001	-0.088838766	1.221355099	-0.297649263	-0.200699241	-0.044287842	0.109594274	-0.133728482	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH208-2	MGH208-2-1_S1_ME_L001.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-B1_S29_ME_L001	1.219387411	1.986710508	-0.232547229	-0.348893553	-0.417597898	-0.48940945	-0.166250847	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH208-2	MGH208-2-1_S1_ME_L001.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-B12_S40_ME_L001	-0.0533532	3.822629672	0.24218898	0.299939779	-0.155871857	-0.1602416	0.126174762	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH208-2	MGH208-2-1_S1_ME_L001.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-D11_S63_ME_L001	1.267252011	2.812820112	-0.556591054	-0.592144893	0.08582544	0.166211907	0.145883357	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH208-2	MGH208-2-2_S2_ME_L001.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-D5_S57_ME_L001	1.725955053	2.015982983	-0.484647197	-0.449414919	-0.36780776	-0.399786798	-0.256627974	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH208-2	MGH208-2-2_S2_ME_L001.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-F6_S82_ME_L001	0.750052913	1.102183487	0.296469186	0.18175527	-0.357814244	-0.34670525	-0.208073515	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH208-2	MGH208-2-3_S3_ME_L001.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-E10_S74_ME_L001	0.202312962	1.113078064	0.0446111	0.148402782	-0.028054741	0.124477435	-0.094619507	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH208-2	MGH208-2-3_S3_ME_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-E12_S76_ME_L001	-0.05961631	0.276629848	-0.124127107	-0.087193601	0.05060615	0.099386856	-0.020510384	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH208-2	MGH208-2-3_S3_ME_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-H8_S108_ME_L001	1.034525538	2.67001779	-0.105208434	-0.190752635	-0.591808185	-0.852987697	-0.008579357	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH208-2	MGH208-2-4_S4_ME_L001.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-G12_S100_ME_L001	1.372671546	1.691495765	-0.150150725	-0.182638997	-0.360644861	-0.293524517	-0.001008211	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH208-2	MGH208-2-4_S4_ME_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-C10_S50_ME_L001	-0.472989136	-0.507435793	-0.270177148	-0.499424579	-0.23189356	-0.507801652	0.354348389	stemness	new_stemness_PCA	new_stemness_PCA	new_stemness_PCA_MICE	undifferentiated	MGH208-2	MGH208-2-2_S2_ME_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-E8_S72_ME_L001	-0.514734324	-0.587805915	-0.473812299	-0.682658249	-0.176452613	-0.272040139	0.428881839	stemness	new_stemness_PCA	new_stemness_PCA	new_stemness_PCA_MICE	undifferentiated	MGH208-2	MGH208-2-3_S3_ME_L001.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-D7_S59_ME_L001	-0.280124608	-0.247460403	-0.120037803	0.013731832	0.475979048	0.693447129	-0.01338384	OC_PCA_MICE	undifferentiated	undifferentiated	OC_PCA_MICE	OC	MGH208-2	MGH208-2-2_S2_ME_L001.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl2-E3_S67_ME_L001	-0.46910703	-0.405620489	-0.071322508	-0.043928502	0.455387333	0.852017439	0.015351193	OC_PCA_MICE	undifferentiated	undifferentiated	OC_PCA_MICE	OC	MGH208-2	MGH208-2-3_S3_ME_L001.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
