rna_cell	G1.S	G2.M	AC_PCA	AC_PCA_MICE	OC_PCA	OC_PCA_MICE	stemness	Type_max	Type_max2	Tirosh_Type_PCA	Tirosh_Type_PCA2	Tirosh_Type_PCA_MICE	Tirosh_Type_PCA_MICE2	Sample	meth_cell
MGH64_P0_A1_S1_L008_R1_001	0.072843115	-0.066271144	0.111382733	0.060359555	0.176774631	0.257037175	-0.054264382	OC_PCA_MICE	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH64	MGH64_P0_A1_S1_L007.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_A11_S11_L008_R1_001	-0.034254665	0.132397607	-0.398612115	-0.472091063	0.397362437	0.217694117	-0.13100871	OC_PCA	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH64	MGH64_P0_A1_S1_L007.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_A12_S12_L008_R1_001	0.039480127	-0.001594703	0.167015685	0.178507107	0.060937123	0.327411409	0.045467039	OC_PCA_MICE	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH64	MGH64_P0_A1_S1_L007.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_A5_S5_L008_R1_001	-0.200486306	-0.161304961	0.641327254	0.809819156	-0.528203276	-0.307374537	-0.169574211	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH64	MGH64_P0_A1_S1_L007.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_A8_S8_L008_R1_001	-0.047982601	0.112130297	0.420878724	0.373013028	-0.685894718	-0.752486985	0.0427827	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH64	MGH64_P0_A1_S1_L007.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_A9_S9_L008_R1_001	-0.136744439	0.098364487	-0.185256899	-0.329959876	0.623139304	1.016776388	-0.094491975	OC_PCA_MICE	OC	OC	OC	OC	OC	MGH64	MGH64_P0_A1_S1_L007.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_B1_S13_L008_R1_001	0.026434768	-0.019506643	0.683361014	0.935075218	-0.179165905	-0.002313201	-0.014446378	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH64	MGH64_P0_A1_S1_L007.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_B10_S22_L008_R1_001	-0.195261457	-0.091226957	0.321538125	0.539858089	0.298527448	0.834037543	0.191713483	OC_PCA_MICE	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH64	MGH64_P0_A1_S1_L007.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_B11_S23_L008_R1_001	-0.264442741	-0.04562132	-0.084816959	-0.216380523	0.601422175	0.500310118	0.095078221	OC_PCA	OC	OC	OC	OC	OC	MGH64	MGH64_P0_A1_S1_L007.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_B12_S24_L008_R1_001	1.942789605	0.299963053	-0.434052233	-0.50753366	0.19007066	0.306286315	0.127477031	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH64	MGH64_P0_A1_S1_L007.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_B4_S16_L008_R1_001	-0.074231469	0.041905549	-0.127589139	-0.129334879	0.276545975	0.297234772	-0.058251519	OC_PCA_MICE	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH64	MGH64_P0_A1_S1_L007.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_B8_S20_L008_R1_001	-0.354125834	-0.132307186	-0.44960186	-0.59871397	0.3498907	0.386682896	0.044850335	OC_PCA_MICE	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH64	MGH64_P0_A1_S1_L007.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_B9_S21_L008_R1_001	0.255567311	-0.10323938	-0.087378491	-0.099781813	0.014554538	-0.676664679	0.179010031	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH64	MGH64_P0_A1_S1_L007.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_C1_S25_L008_R1_001	-0.105404509	-0.093308906	0.11890374	0.193476372	0.209033549	0.178940484	0.176502189	OC_PCA	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH64	MGH64_P0_C1_S2_L007.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_C11_S35_L008_R1_001	-0.236463952	-0.125484856	-0.135860572	-0.195735205	0.541815416	0.909338886	-0.107358012	OC_PCA_MICE	OC	OC	OC	OC	OC	MGH64	MGH64_P0_C1_S2_L007.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_C12_S36_L008_R1_001	-0.185415906	-0.264900793	1.020386871	1.179075011	-1.023944104	-1.853756382	-0.503597755	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH64	MGH64_P0_C1_S2_L007.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_C2_S26_L008_R1_001	0.159936916	0.132185294	0.063117125	0.065819758	0.23120631	0.440401341	0.000194284	OC_PCA_MICE	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH64	MGH64_P0_C1_S2_L007.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_C3_S27_L008_R1_001	-0.09096554	0.030553269	-0.343103216	-0.481321464	0.139532728	0.159918641	0.089248306	OC_PCA_MICE	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH64	MGH64_P0_C1_S2_L007.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_C4_S28_L008_R1_001	-0.030121508	-0.133232852	0.154525883	0.38460297	-0.084011553	-0.072096505	-0.056578598	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH64	MGH64_P0_C1_S2_L007.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_C5_S29_L008_R1_001	0.034710888	0.025213057	0.219353947	0.308325914	0.262466489	0.413444333	0.017339833	OC_PCA_MICE	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH64	MGH64_P0_C1_S2_L007.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_C8_S32_L008_R1_001	0.222364592	0.03301915	0.621814469	1.035238089	-0.112714808	-0.180753265	0.157229341	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH64	MGH64_P0_C1_S2_L007.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_C9_S33_L008_R1_001	-0.181532496	-0.095073975	-0.506692443	-0.609999691	0.573951328	0.78279764	0.257838423	OC_PCA_MICE	OC	OC	OC	OC	OC	MGH64	MGH64_P0_C1_S2_L007.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_D1_S37_L008_R1_001	-0.110310938	-0.262379428	0.845116623	1.159244224	-1.336666267	-2.091397573	-0.626059176	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH64	MGH64_P0_C1_S2_L007.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_D10_S46_L008_R1_001	-0.054003301	-0.135538181	0.948974739	1.264728992	-0.518775815	-0.378827462	-0.009245503	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH64	MGH64_P0_C1_S2_L007.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_D2_S38_L008_R1_001	-0.178323328	-0.237991154	-0.069921482	-0.205562496	0.190276075	0.268707771	0.197606474	OC_PCA_MICE	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH64	MGH64_P0_C1_S2_L007.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH64_P0_D4_S40_L008_R1_001	-0.187273825	-0.15939671	-0.502909187	-0.658351551	0.455284362	0.342100418	0.034609923	OC_PCA	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH64	MGH64_P0_C1_S2_L007.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
